SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE
2026,1642929,Rueben,Chinyelu,Rueben Chinyelu,C,81.25,6' 9.25'',,,259.40,91.5,7' 7.50'',111.5,9' 3.50'',,10.0,10.25,30.5,33.0,11.21,2.85,3.25,,,,,,,12-25,,,,,,,,,,,,,18-30,,,,11-25
2026,1643618,Jacob,Cofie,Jacob Cofie,PF,80.5,6' 8.50'',,,232.00,84.0,7' 0.00'',107.0,8' 11.00'',,8.5,9.5,29.5,36.0,11.3,2.92,3.07,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643553,Ryan,Conwell,Ryan Conwell,SG,74.0,6' 2.00'',,,214.80,79.0,6' 7.00'',96.5,8' 0.50'',,8.5,9.0,32.5,39.5,10.69,2.86,3.21,,,,,,,14-25,,,,,,,,,,,,,28-30,,,,19-25
2026,1643547,Sergio,De Larrea,Sergio De Larrea,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643407,Anicet,Dybantsa,Anicet Dybantsa,SF,80.5,6' 8.50'',,,217.00,84.5,7' 0.50'',106.0,8' 10.00'',,8.5,9.0,33.5,42.0,11.06,2.99,3.14,,,,,,,14-25,,,,,,,,,,,,,23-30,,,,11-25
2026,1643544,Zuby,Ejiofor,Zuby Ejiofor,C,79.5,6' 7.50'',,,245.20,86.0,7' 2.00'',107.0,8' 11.00'',,9.25,9.75,34.0,38.0,11.05,2.76,3.2,,,,,,,13-25,,,,,,,,,,,,,17-30,,,,12-25
2026,1642912,Isaiah,Evans,Isaiah Evans,SG,77.5,6' 5.50'',,,186.00,80.75,6' 8.75'',104.5,8' 8.50'',,8.5,9.0,27.0,35.5,11.87,2.89,3.18,,,,,,,14-25,,,,,,,,,,,,,21-30,,,,17-25
2026,1643578,Jeremy,Fears Jr.,Jeremy Fears Jr.,PG,72.0,6' 0.00'',,,196.20,76.0,6' 4.00'',97.5,8' 1.50'',,8.0,9.0,32.0,39.0,10.62,3.1,3.11,,,,,,,13-25,,,,,,,,,,,,,21-30,,,,13-25
2026,1643412,Kingston,Flemings,Kingston Flemings,PG,74.5,6' 2.50'',,,183.40,75.5,6' 3.50'',98.5,8' 2.50'',,8.5,9.5,33.5,40.5,10.61,2.69,3.07,,,,,,,15-25,,,,,,,,,,,,,26-30,,,,19-25
2026,1643551,Ja'Kobi,Gillespie,Ja'Kobi Gillespie,PG,71.75,5' 11.75'',,,181.80,76.0,6' 4.00'',95.5,7' 11.50'',,8.0,9.5,31.5,39.5,10.94,2.91,3.12,,,,,,,17-25,,,,,,,,,,,,,20-30,,,,17-25
2026,1643512,Allen,Graves,Allen Graves,PF,79.75,6' 7.75'',,,225.60,84.0,7' 0.00'',106.5,8' 10.50'',,9.0,9.5,27.5,34.0,11.76,3.18,3.44,,,,,,,14-25,,,,,,,,,,,,,13-30,,,,14-25
2026,1643545,Keyshawn,Hall,Keyshawn Hall,SF,78.0,6' 6.00'',,,227.40,82.25,6' 10.25'',105.0,8' 9.00'',,9.5,9.75,30.0,34.0,11.15,3.1,3.25,,,,,,,18-25,,,,,,,,,,,,,23-30,,,,16-25
2026,1643541,Jaden,Harris,Jaden Harris,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643624,Bryce,Hopkins,Bryce Hopkins,PF,78.0,6' 6.00'',,,218.80,82.5,6' 10.50'',105.0,8' 9.00'',,9.25,10.0,30.0,37.5,10.71,2.95,3.26,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643538,Joshua,Jefferson,Joshua Jefferson,PF,79.75,6' 7.75'',,,246.20,82.75,6' 10.75'',104.5,8' 8.50'',,9.0,10.0,27.0,33.0,11.91,3.08,3.42,,,,,,,11-25,,,,,,,,,,,,,16-30,,,,15-25
